masa_A
t	x	vx	ax
0,000	-276,7	NaN	NaN
0,033	-276,6	1,910	NaN
0,067	-276,6	1,823	17,60
0,100	-276,5	3,009	24,63
0,133	-276,4	3,783	-27,42
0,167	-276,2	1,273	18,22
0,200	-276,3	3,727	51,07
0,234	-276,0	6,602	33,54
0,267	-275,8	4,776	-43,74
0,300	-275,7	4,045	-0,226
0,334	-275,6	4,401	29,43
0,367	-275,4	6,303	78,07
0,400	-275,1	9,371	39,00
0,434	-274,8	9,703	39,48
0,467	-274,5	10,72	76,14
0,500	-274,0	15,61	178,2
0,534	-273,5	22,11	174,2
0,567	-272,6	28,05	95,83
0,601	-271,6	28,41	23,28
0,634	-270,7	28,88	-196,4
0,667	-269,7	17,70	-49,76
0,701	-269,5	19,63	123,0
0,734	-268,3	32,20	219,0
0,767	-267,3	31,39	58,41
0,801	-266,2	36,23	126,1
0,834	-264,9	40,55	18,83
0,868	-263,5	37,69	-63,72
0,901	-262,4	35,04	42,23
0,934	-261,2	40,62	60,94
0,968	-259,7	40,93	-46,65
1,001	-258,5	35,73	-10,21
1,034	-257,3	39,90	70,39
1,068	-255,8	42,35	-18,94
1,101	-254,5	37,51	-38,42
1,134	-253,3	38,98	44,75
1,168	-251,9	41,99	5,229
1,201	-250,5	38,92	-0,516
1,235	-249,3	40,78	21,19
1,268	-247,8	42,26	-1,666
1,301	-246,5	39,32	-26,55
1,335	-245,2	40,61	1,299
1,368	-243,8	40,14	-31,65
1,401	-242,5	37,78	33,07
1,435	-241,2	41,87	28,77
1,468	-239,7	41,71	-48,73
1,501	-238,4	36,69	-11,93
1,535	-237,2	40,84	51,43
1,568	-235,7	41,95	-1,303
1,602	-234,4	39,07	-7,576
1,635	-233,1	41,76	-1,478
1,668	-231,7	40,07	-50,81
1,702	-230,4	36,86	5,282
1,735	-229,2	40,71	45,67
1,768	-227,7	41,12	-18,49
1,802	-226,4	38,24	-16,54
1,835	-225,2	40,10	51,31
1,869	-223,8	42,22	2,394
1,902	-222,4	40,31	-15,36
1,935	-221,1	40,30	-43,72
1,969	-219,7	38,78	-75,77
2,002	-218,5	34,10	-76,40
2,035	-217,4	33,75	140,6
2,069	-216,2	42,70	74,20
2,102	-214,5	42,17	56,45
2,135	-213,4	41,65	-16,88
2,169	-211,8	45,27	-12,81
2,202	-210,4	38,62	-171,2
2,236	-209,2	34,22	-59,79
2,269	-208,1	33,98	90,35
2,302	-206,9	40,53	84,10
2,336	-205,4	41,13	6,062
2,369	-204,2	38,94	2,437
2,402	-202,8	42,12	-40,35
2,436	-201,4	37,33	-137,1
2,469	-200,3	30,97	-10,03
2,503	-199,3	36,70	177,7
2,536	-197,9	44,25	84,43
2,569	-196,3	42,51	-39,90
2,603	-195,0	40,18	-56,52
2,636	-193,7	39,79	-11,78
2,669	-192,4	38,71	-41,73
2,703	-191,1	37,59	25,31
2,736	-189,9	39,39	36,69
2,769	-188,5	41,43	11,73
2,803	-187,1	39,40	-56,91
2,836	-185,8	37,77	-87,95
2,870	-184,6	33,79	
2,903	-183,6		
2,970	-180,3		
3,003	-179,3	33,29	
3,036	-178,1	31,14	-103,3
3,070	-177,3	24,49	
3,103	-176,5		
3,303	-167,6		
3,337	-166,5	34,56	
3,370	-165,3	38,94	92,40
3,403	-163,9	41,03	-6,097
3,437	-162,5	38,56	11,24
3,470	-161,3	40,48	23,22
3,503	-159,8	42,08	-27,21
3,537	-158,5	37,52	-33,07
3,570	-157,3	39,24	47,01
3,604	-155,9	42,04	-10,09
3,637	-154,5	38,28	-31,76
3,670	-153,3	38,67	41,21
3,704	-151,9	42,39	21,67
3,737	-150,5	40,09	-29,48
3,770	-149,3	39,37	6,583
3,804	-147,9	41,42	-18,89
3,837	-146,5	38,35	-19,16
3,871	-145,3	38,68	54,00
3,904	-143,9	43,29	14,17
3,937	-142,4	40,02	-52,59
3,971	-141,2	38,07	-9,458
4,004	-139,9	40,64	6,174
4,037	-138,5	38,55	-0,929
4,071	-137,3	39,42	33,51
4,104	-135,9	42,11	-22,29
4,137	-134,5	37,86	-128,0
4,171	-133,4	32,77	4,769
4,204	-132,3	37,45	155,7
4,238	-130,9	44,89	11,58
4,271	-129,3	38,82	-134,3
4,304	-128,3	33,32	-118,3
4,338	-127,1	32,89	-129,1
4,371	-126,1	24,59	-49,72
4,404	-125,5	27,03	
4,438	-124,3		
4,571	-117,3		
4,605	-116,1	39,55	
4,638	-114,6	43,27	8,477
4,671	-113,3	38,89	-17,06
4,705	-112,0	41,24	-17,49
4,738	-110,5	40,08	8,164
4,771	-109,3	38,92	-93,36
4,805	-107,9	36,84	32,85
4,838	-106,9	37,58	-8,097
4,872	-105,4	40,00	13,19
4,905	-104,2	35,93	-29,25
4,938	-103,0	38,68	55,65
4,972	-101,6	40,16	-9,832
5,005	-100,3	37,86	-12,64
5,038	-99,11	38,52	28,49
5,072	-97,75	40,76	4,937
5,105	-96,39	38,69	-77,44
5,138	-95,16	35,32	18,80
5,172	-94,04	39,03	20,90
5,205	-92,56	39,16	22,01
5,239	-91,42	37,76	-83,97
5,272	-90,04	36,11	50,56
5,305	-89,01	38,03	0,752
5,339	-87,50	39,79	22,41
5,372	-86,36	36,58	-64,73
5,405	-85,06	37,17	39,47
5,439	-83,88	38,02	44,02
5,472	-82,52	41,03	10,87
5,506	-81,14	38,87	-40,19
5,539	-79,93	37,39	13,06
5,572	-78,64	40,18	-20,29
5,606	-77,25	37,05	-71,70
5,639	-76,17	33,58	-73,19
5,672	-75,01	33,46	-110,9
5,706	-73,94	26,36	-293,0
5,739	-73,25	13,54	-386,2
5,772	-73,04	0,205	-288,1
5,806	-73,23	-6,344	-61,94
5,839	-73,46	-3,621	340,5
5,873	-73,48	15,11	596,3
5,906	-72,45	38,99	433,1
5,939	-70,87	44,55	25,78
5,973	-69,48	39,13	-68,41
6,006	-68,26	39,21	14,97
6,039	-66,86	41,39	-11,11
6,073	-65,50	38,27	3,767
6,106	-64,31	40,34	28,61
6,139	-62,81	42,24	-43,44
6,173	-61,49	36,45	-60,27
6,206	-60,37	37,18	61,07
6,240	-59,01	41,92	26,17
6,273	-57,58	39,18	-67,90
6,306	-56,39	36,12	1,127
6,340	-55,17	39,55	52,39
6,373	-53,75	40,58	-9,681
6,406	-52,46	38,10	-21,41
6,440	-51,21	38,98	22,09
6,473	-49,86	40,18	-17,12
6,507	-48,53	37,79	26,93
6,540	-47,34	40,75	35,78
6,573	-45,81	42,36	-38,84
6,607	-44,51	36,80	-51,21
6,640	-43,35	38,27	81,62
6,673	-41,96	43,40	10,67
6,707	-40,46	39,63	-118,3
6,740	-39,31	33,87	25,30
6,773	-38,20	40,85	49,90
6,807	-36,58	40,53	-45,32
6,840	-35,49	34,30	42,81
6,874	-34,30	43,82	76,41
6,907	-32,57	42,73	-102,3
6,940	-31,44	33,33	-134,8
6,974	-30,34	34,68	-97,41
7,007	-29,13	28,50	-220,0
7,040	-28,44	17,88	
7,074	-27,94		
7,174	-22,73		
7,207	-21,15	44,01	
7,241	-19,79	39,06	-115,2
7,274	-18,54	36,42	-4,258
7,307	-17,36	38,36	58,00
7,341	-15,98	41,23	-1,998
7,374	-14,61	38,25	-77,47
7,407	-13,43	35,20	26,26
7,441	-12,26	39,76	71,41
7,474	-10,78	41,68	-43,27
7,507	-9,478	35,89	-1,673
7,541	-8,383	40,03	72,30
7,574	-6,806	43,73	3,619
7,608	-5,465	38,47	-59,32
7,641	-4,239	39,41	18,70
7,674	-2,835	40,89	-45,62
7,708	-1,510	36,16	-19,12
7,741	-0,422	37,99	57,13
7,774	1,026	42,20	43,03
7,808	2,394	39,91	-33,32
7,841	3,689	39,70	24,03
7,875	5,043	41,75	-19,55
7,908	6,475	39,14	-89,78
7,941	7,655	34,63	-98,28
7,975	8,786	33,03	-2,525
8,008	9,860	34,05	91,36
8,041	11,06	39,30	163,0
8,075	12,48	45,26	33,48
8,108	14,08	42,55	-72,70
8,141	15,32	38,37	44,84
8,175	16,64	45,73	9,570
8,208	18,37	42,05	-157,0
8,242	19,45	31,60	-152,5
8,275	20,48	32,88	-32,61
8,308	21,64	30,60	-41,31
8,342	22,52	28,42	
8,375	23,54		
8,442	27,10		
8,475	27,93	46,14	
8,508	30,18	52,07	-44,36
8,542	31,41	35,93	-242,3
8,575	32,58	37,48	43,94
8,609	33,91	39,71	41,08
8,642	35,23	39,77	-21,44
8,675	36,56	38,59	-22,47
8,709	37,80	37,74	32,05
8,742	39,08	40,76	7,532
8,775	40,52	39,39	11,90
8,809	41,71	39,56	10,36
8,842	43,16	41,98	-15,18
8,876	44,51	37,90	11,66
8,909	45,69	41,39	23,71
8,942	47,27	42,30	-38,97
8,976	48,52	36,55	-69,96
9,009	49,71	37,90	60,60
9,042	51,04	41,08	39,59
9,076	52,46	40,82	-0,823
9,109	53,77	40,30	-25,35
9,142	55,14	39,81	-35,48
9,176	56,42	37,51	-5,401E-2
9,209	57,65	39,37	45,68
9,243	59,05	41,54	-21,63
9,276	60,42	37,83	-90,13
9,309	61,58	34,70	41,51
9,343	62,74	40,26	84,04
9,376	64,26	42,38	6,004
9,409	65,56	38,90	-31,63
9,443	66,86	40,51	13,13
9,476	68,27	40,50	-67,70
9,509	69,56	35,72	-80,11
9,543	70,65	34,26	-60,97
9,576	71,85	32,99	-138,0
9,610	72,85	24,74	82,93
9,643	73,50	35,17	196,6
9,676	75,20	44,09	10,25
9,710	76,44	32,35	126,9
9,743	77,36	49,05	178,0
9,776	79,72	53,55	-79,14
9,810	80,93	35,88	-245,7
9,843	82,11	38,92	60,41
9,877	83,53	41,21	0,101
9,910	84,86	38,27	-14,21
9,943	86,08	39,57	19,51
9,977	87,50	40,87	3,399
10,010	88,81	38,96	-10,98
10,043	90,10	40,09	-11,45
10,077	91,49	38,99	34,96
10,110	92,70	40,88	19,61
10,143	94,21	42,33	-31,66
10,177	95,53	37,56	-21,02
10,210	96,72	40,18	41,12
10,244	98,21	42,19	-36,94
10,277	99,54	36,80	-74,31
10,310	100,7	36,38	30,15
10,344	102,0	39,82	36,80
10,377	103,3	38,99	-48,70
10,410	104,6	36,10	-12,32
10,444	105,7	37,70	67,64
10,477	107,1	41,42	8,161
10,511	108,5	38,67	-27,30
10,544	109,7	37,96	17,36
10,577	111,0	41,20	-5,948
10,611	112,4	37,72	-148,4
10,644	113,5	30,68	-643,1
10,677	114,5	-1,502	-472,2
10,711	113,4	-11,31	
10,744	113,7		
10,911	123,7		
10,944	124,7		
11,044	129,2		
11,144	134,3		
11,178	135,5	37,34	
11,211	136,8	38,86	61,84
11,245	138,1	40,79	-3,379
11,278	139,5	39,78	4,123
11,311	140,7	39,41	7,761
11,345	142,2	41,67	-14,57
11,378	143,5	38,25	26,41
11,411	144,7	41,81	7,820
11,445	146,3	41,89	-59,47
11,478	147,5	35,19	-52,64
11,511	148,7	38,61	102,6
11,545	150,1	43,10	11,22
11,578	151,5	39,59	-21,53
11,612	152,7	39,76	0,404
11,645	154,2	41,78	-23,15
11,678	155,5	37,26	-50,47
11,712	156,7	37,73	50,89
11,745	158,0	41,57	4,987
11,778	159,5	38,60	
11,812	160,6		
11,912	165,1		
11,945	166,5	37,87	
11,979	167,6	32,70	-56,72
12,012	168,6	33,71	
12,045	169,9		
12,145	174,5		
12,179	175,4	26,84	
12,212	176,3	45,91	216,0
12,246	178,5	49,22	-104,5
12,279	179,6	31,69	-255,5
12,312	180,6	33,65	207,9
12,346	181,8	45,46	140,8
12,379	183,6	46,15	-27,00
12,412	184,9	39,94	-120,9
12,446	186,3	39,92	-28,79
12,479	187,6	37,42	23,55
12,512	188,8	40,89	32,81
12,546	190,3	41,48	-19,05
12,579	191,5	37,93	2,817
12,613	192,8	41,72	25,54
12,646	194,3	41,24	-39,64
12,679	195,6	37,34	9,026
12,713	196,8	41,88	22,47
12,746	198,4	40,81	-53,31
12,779	199,5	36,08	-31,39
12,813	200,8	39,30	77,36
12,846	202,2	41,88	-14,44
12,880	203,6	38,46	-10,76
12,913	204,7	39,54	20,79
12,946	206,2	41,93	-7,755
12,980	207,5	38,02	-50,29
13,013	208,7	38,10	-9,049
13,046	210,1	38,42	3,536
13,080	211,3	37,54	
13,113	212,6		
13,180	215,8		
13,213	217,0	34,91	
13,247	218,1	36,00	-20,80
13,280	219,4	35,15	
13,313	220,5		
13,380	233,5		
13,413	234,3		
13,647	244,1		
13,680	245,4	38,98	
13,714	246,7	42,20	48,45
13,747	248,2	42,04	-52,03
13,780	249,6	38,85	-9,933
13,814	250,8	40,17	11,05
13,847	252,2	41,44	32,44
13,881	253,5	40,75	-51,80
13,914	255,0	39,39	-5,518
13,947	256,2	38,78	-4,468
13,981	257,5	40,48	47,54
14,014	258,9	41,06	-28,41
14,047	260,3	39,61	-30,58
14,081	261,5	37,76	47,04
14,114	262,8	42,94	18,04
14,147	264,4	40,81	-40,10
14,181	265,5	37,53	-42,59
14,214	266,9	39,75	49,14
14,248	268,2	40,09	51,00
14,281	269,5	43,22	35,08
14,314	271,1	43,22	-79,19
14,348	272,4	37,51	-138,8
14,381	273,6	33,34	92,94
14,414	274,7	42,62	106,5
14,448	276,4	44,51	-16,09
14,481	277,6	37,67	-79,74
14,514	278,9	40,45	0,687
14,548	280,3	38,51	-46,83
14,581	281,5	35,95	44,12
14,615	282,7	41,57	78,89
14,648	284,3	42,88	-77,81
14,681	285,6	35,36	-162,1
14,715	286,6	31,33	
14,748	287,7		
14,848	292,1		
14,882	293,3	36,63	
14,915	294,6	44,71	78,18
14,948	296,3	44,48	-73,08
14,982	297,5	37,04	-84,71
15,015	298,8	39,22	44,47
15,048	300,2	41,04	-8,657
15,082	301,5	38,22	-36,49
15,115	302,7	37,99	34,23
15,148	304,0	41,02	5,804
15,182	305,5	39,04	-46,10
15,215	306,6	36,63	1,236
15,249	307,9	39,61	30,15
15,282	309,3	39,39	-44,35
15,315	310,5	35,91	-38,14
15,349	311,7	36,53	17,92
15,382	313,0	37,90	14,27
15,415	314,2	37,11	-51,95
15,449	315,4	34,72	-57,67
15,482	316,5	32,69	-20,90
15,515	317,6	33,54	-46,42
15,549	318,8	30,37	-32,86
15,582	319,6	29,65	-30,87
15,616	320,7	30,18	-18,87
15,649	321,7	27,20	-35,81
15,682	322,6	27,94	0,215
15,716	323,5	27,73	
15,749	324,4		
